"Name";"Subtitle";"Acceleration";"TopSpeed";"Range_km";"Efficiency";"FastChargeSpeed";"Drive";"NumberofSeats";"PriceinGermany";"PriceinUK";"price_germany_num";"price_uk_num"
"Polestar 2 Long Range Dual Motor";"Battery Electric Vehicle |       75 kWh ";"4.7 sec";"205 km/h";"395 km";"190 Wh/km";"510 km/h";"All Wheel Drive";"5";"52500";"45900";52500.0;45900.0
"Volkswagen ID.4 Pure";"Battery Electric Vehicle |       52 kWh";"10.9 sec";"160 km/h";"285 km";"182 Wh/km";"410 km/h";"Rear Wheel Drive";"5";"36950";"32150";36950.0;32150.0
"Audi Q4 e-tron 40";"Battery Electric Vehicle |       76.6 kWh";"8.5 sec";"160 km/h";"405 km";"189 Wh/km";"500 km/h";"Rear Wheel Drive";"5";"47500";"44990";47500.0;44990.0
"Audi Q4 e-tron 50 quattro";"Battery Electric Vehicle |       76.6 kWh";"6.2 sec";"180 km/h";"385 km";"199 Wh/km";"470 km/h";"All Wheel Drive";"5";"53600";"51370";53600.0;51370.0
"Audi Q4 Sportback e-tron 50 quattro";"Battery Electric Vehicle |       76.6 kWh";"6.2 sec";"180 km/h";"400 km";"192 Wh/km";"490 km/h";"All Wheel Drive";"5";"55600";"52870";55600.0;52870.0
"Mercedes EQB 350 4MATIC";"Battery Electric Vehicle |       66.5 kWh";"6.5 sec";"160 km/h";"340 km";"196 Wh/km";"400 km/h";"All Wheel Drive";"7";"60000";"50000";60000.0;50000.0
"Volkswagen ID.4 GTX";"Battery Electric Vehicle |       77 kWh";"6.2 sec";"180 km/h";"400 km";"193 Wh/km";"490 km/h";"All Wheel Drive";"5";"50415";"55540";50415.0;55540.0
"Mercedes EQA 300 4MATIC";"Battery Electric Vehicle |       66.5 kWh";"7.7 sec";"160 km/h";"350 km";"190 Wh/km";"420 km/h";"All Wheel Drive";"5";"53538";"";53538.0;0.0
"Mercedes EQA 350 4MATIC";"Battery Electric Vehicle |       66.5 kWh";"6.0 sec";"160 km/h";"350 km";"190 Wh/km";"420 km/h";"All Wheel Drive";"5";"56216";"";56216.0;0.0
"Toyota PROACE Verso M 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"185 km";"243 Wh/km";"250 km/h";"Front Wheel Drive";"7";"58530";"";58530.0;0.0
