"region";"address";"aux_address";"latitude";"longitude";"type";"power";"service";"power_kw"
"Noida Authority";"Sector 142, Near Advan Chowk  Noida, Uttar Pradesh, 201305";"Electric Vehicle Charger,  Sector 142, Near Advan Chowk  Noida, Uttar Pradesh, 201305";28.499953;77.414254;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Sector 142, Near Advan Chowk  Noida, Uttar Pradesh, 201305";"Electric Vehicle Charger,  Sector 142, Near Advan Chowk  Noida, Uttar Pradesh, 201305";28.499953;77.414254;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305";"Electric Vehicle Charger,  Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305";28.5971;77.3649;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305";"Electric Vehicle Charger,  Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305";28.5971;77.3649;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Sector 50  Central Market, Noida, Uttar Pradesh, 201305";"Electric Vehicle Charger,  Sector 50  Central Market, Noida, Uttar Pradesh, 201305";28.571997;77.369368;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Sector 50 , Central Market,  Noida, Uttar Pradesh, 201305";"Electric Vehicle Charger,  Sector 50 , Central Market,  Noida, Uttar Pradesh, 201305";28.529098;77.403381;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301";"Electric Vehicle Charger, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301";28.57215;77.337546;"AC-001";"10(3.3 kW each)";"Self Service";10
"Noida Authority";"Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301";"Electric Vehicle Charger, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301";28.57215;77.337546;"AC-001";"10(3.3 kW each)";"Self Service";10
"Noida Authority";"Between kirti mann plaza and NMC hospital Sector 30 Noida";"Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida";28.572798;77.340531;"AC-001";"10(3.3 kW each)";"Self Service";10
"Noida Authority";"Between kirti mann plaza and NMC hospital Sector 30 Noida";"Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida";28.572798;77.340531;"AC-001";"10(3.3 kW each)";"Self Service";10
